movie_id,imdb_id,title,original_title,release_date,year,runtime,status,overview,tagline,genres,keywords,original_language,spoken_languages,cast,directors,production_companies,vote_average,vote_count,popularity,budget,revenue,certification,text_features
875828,tt15574124,Peaky Blinders: The Immortal Man,Peaky Blinders: The Immortal Man,2026-03-05,2026.0,112,Released,"After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation.",It will all come to this.,Crime|Drama,england|gangster|world war ii|period drama|1940s|based on tv series,en,English,Cillian Murphy|Barry Keoghan|Rebecca Ferguson|Tim Roth|Stephen Graham,Tom Harper,BBC Film|Garrison Drama|Nebulastar,7.4,441,337.6486,0,0,R,"After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation. It will all come to this. england gangster world war ii period drama 1940s based on tv series Crime Drama"
687163,tt12042730,Project Hail Mary,Project Hail Mary,2026-03-15,2026.0,157,Released,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",Believe in the Hail Mary.,Science Fiction|Adventure,based on novel or book|space travel|space mission|alien|space|science teacher|save the planet,en,English|Mandarin|Russian,Ryan Gosling|James Ortiz|Sandra Hüller|Lionel Boyce|Milana Vayntrub,Phil Lord|Christopher Miller,Lord Miller|Amazon MGM Studios|Pascal Pictures|Open Invite Entertainment|Waypoint Entertainment,8.17,524,303.9914,200000000,140983746,PG-13,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone. Believe in the Hail Mary. based on novel or book space travel space mission alien space science teacher save the planet Science Fiction Adventure"
83533,tt1757678,Avatar: Fire and Ash,Avatar: Fire and Ash,2025-12-17,2025.0,198,Released,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",The world of Pandora will change forever.,Science Fiction|Adventure|Fantasy,witch|clone|space war|tribe|sequel|alien|transhumanism|family|space adventure|family dynamics|rival,en,English,Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Oona Chaplin,James Cameron,20th Century Studios|Lightstorm Entertainment|TSG Entertainment,7.261,1937,305.6897,350000000,1482195377,PG-13,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits. The world of Pandora will change forever. witch clone space war tribe sequel alien transhumanism family space adventure family dynamics rival Science Fiction Adventure Fantasy"
1290821,tt32357218,Shelter,Shelter,2026-01-28,2026.0,108,Released,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",Her safety. His mission.,Action|Crime|Thriller,ghosts of the past|apologetic|solitary life,en,English,Jason Statham|Bodhi Rae Breathnach|Michael Shaeffer|Anna Crilly|Bill Nighy,Ric Roman Waugh,Black Bear Pictures|Punch Palace Productions|CineMachine|Stampede Ventures,6.683,396,293.2147,50000000,48148603,R,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past. Her safety. His mission. ghosts of the past apologetic solitary life Action Crime Thriller"
1159559,tt27047903,Scream 7,Scream 7,2026-02-25,2026.0,114,Released,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",Burn it all down.,Horror|Mystery|Crime,mask|artificial intelligence (a.i.)|sequel|murder|serial killer|slasher|whodunit|killing spree|blunt|self-referential|reboot|crime spree|disturbed|murder mystery|masked villain|murder spree|teen horror|apathetic,en,English,Neve Campbell|Courteney Cox|Isabel May|Jasmin Savoy Brown|Mason Gooding,Kevin Williamson,Paramount Pictures|Spyglass Media Group|Project X Entertainment,5.815,464,284.7465,45000000,194699963,R,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all. Burn it all down. mask artificial intelligence (a.i.) sequel murder serial killer slasher whodunit killing spree blunt self-referential reboot crime spree disturbed murder mystery masked villain murder spree teen horror apathetic Horror Mystery Crime"
1523145,tt38190257,Your Heart Will Be Broken,Твое сердце будет разбито,2026-03-26,2026.0,134,Released,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",,Romance|Drama,,ru,Turkish,Veronika Zhuravleva|Daniel Vegas|Alya Mayer|Maksim Saprykin|Evgeniya Loza,Mikhail Vaynberg,All Media A Start Company|START Studio|Sverdlovsk Film Studio|Cinema Foundation of Russia,6.429,7,290.9201,0,0,NR,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers. Romance Drama"
1265609,tt15940132,War Machine,War Machine,2026-02-12,2026.0,110,Released,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",All grit. No quit.,Action|Science Fiction|Thriller,military training|military sci-fi|u.s. army ranger,en,English,Alan Ritchson|Dennis Quaid|Stephan James|Jai Courtney|Esai Morales,Patrick Hughes,Lionsgate|Hidden Pictures|Huge Film|Range Media Partners,7.272,1165,253.9189,0,0,R,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine. All grit. No quit. military training military sci-fi u.s. army ranger Action Science Fiction Thriller"
1171145,tt32430579,Crime 101,Crime 101,2026-02-11,2026.0,141,Released,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",Always have an exit.,Crime|Thriller,"robbery|based on novel or book|jewelry|los angeles, california|police detective|diamond heist|insurance|lapd|motorcycle chase|jewel robbery|ford mustang|assertive|bewildered|callous|antwerp diamonds",en,English,Chris Hemsworth|Mark Ruffalo|Halle Berry|Barry Keoghan|Monica Barbaro,Bart Layton,Working Title Films|The Story Factory|RAW|Amazon MGM Studios|Wild State,6.991,213,242.3705,90000000,67464389,R,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher. Always have an exit. robbery based on novel or book jewelry los angeles, california police detective diamond heist insurance lapd motorcycle chase jewel robbery ford mustang assertive bewildered callous antwerp diamonds Crime Thriller"
1198994,tt8036976,Send Help,Send Help,2026-01-22,2026.0,113,Released,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",Meet Linda Liddle... She's from strategy and planning. She's the boss now.,Horror|Thriller|Comedy,bullying|role reversal|survival|struggle for survival|survival horror|deserted island|power struggle|colleagues|bullying in the workplace|plane crash|gender inequality|comedy thriller|comedy horror,en,English,Rachel McAdams|Dylan O'Brien|Edyll Ismail|Dennis Haysbert|Xavier Samuel,Sam Raimi,Raimi Productions|20th Century Studios|TSG Entertainment,7.045,536,223.6334,40000000,93904781,R,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive. Meet Linda Liddle... She's from strategy and planning. She's the boss now. bullying role reversal survival struggle for survival survival horror deserted island power struggle colleagues bullying in the workplace plane crash gender inequality comedy thriller comedy horror Horror Thriller Comedy"
840464,tt14850054,Greenland 2: Migration,Greenland 2: Migration,2026-01-07,2026.0,98,Released,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",Hope is uncharted territory.,Adventure|Thriller|Science Fiction,natural disaster|shelter|survival|disaster|shocking|frantic,en,English|French,Gerard Butler|Morena Baccarin|Roman Griffin Davis|Tommie Earl Jenkins|Trond Fausa Aurvåg,Ric Roman Waugh,Lionsgate|STXfilms|Anton|Thunder Road|G-BASE|CineMachine,6.429,697,200.167,90000000,44579387,PG-13,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home. Hope is uncharted territory. natural disaster shelter survival disaster shocking frantic Adventure Thriller Science Fiction"
